21:58:43.096  192.168.1.116:自动分配端口失败, ret = -1
21:58:59.338  192.168.1.116:自动分配端口失败, ret = -1
21:59:14.372  192.168.1.116:自动分配端口失败, ret = -1
21:59:29.335  192.168.1.116:自动分配端口失败, ret = -1
21:59:44.351  192.168.1.116:自动分配端口失败, ret = -1
21:59:59.354  192.168.1.116:自动分配端口失败, ret = -1
22:00:14.338  192.168.1.116:自动分配端口失败, ret = -1
22:00:29.350  192.168.1.116:自动分配端口失败, ret = -1
22:00:44.337  192.168.1.116:自动分配端口失败, ret = -1
22:00:59.353  192.168.1.116:自动分配端口失败, ret = -1
22:01:14.338  192.168.1.116:自动分配端口失败, ret = -1
22:01:29.346  192.168.1.116:自动分配端口失败, ret = -1
22:01:44.341  192.168.1.116:自动分配端口失败, ret = -1
22:01:59.360  192.168.1.116:自动分配端口失败, ret = -1
22:02:14.359  192.168.1.116:自动分配端口失败, ret = -1
22:02:29.350  192.168.1.116:自动分配端口失败, ret = -1
22:02:44.346  192.168.1.116:自动分配端口失败, ret = -1
22:02:59.349  192.168.1.116:自动分配端口失败, ret = -1
22:03:14.341  192.168.1.116:自动分配端口失败, ret = -1
22:03:29.350  192.168.1.116:自动分配端口失败, ret = -1
22:03:44.347  192.168.1.116:自动分配端口失败, ret = -1
22:03:59.347  192.168.1.116:自动分配端口失败, ret = -1
22:04:14.363  192.168.1.116:自动分配端口失败, ret = -1
22:04:29.906  192.168.1.116:自动分配端口失败, ret = -1
22:04:44.908  192.168.1.116:自动分配端口失败, ret = -1
